y_test_pred,y_test_pred_rounded,y_test
2.969798,3.0,2
3.8251553,4.0,5
3.690956,4.0,1
3.855908,4.0,4
3.3362744,3.0,3
3.4893098,3.0,4
3.344293,3.0,4
3.7288203,4.0,5
3.436847,3.0,3
3.1970906,3.0,4
3.4626634,3.0,5
3.4106002,3.0,4
3.662285,4.0,1
3.1827478,3.0,2
3.3559968,3.0,1
3.3191998,3.0,2
3.337661,3.0,3
3.4893098,3.0,5
3.4315298,3.0,3
3.8242238,4.0,5
3.6028209,4.0,4
3.3365052,3.0,4
3.612901,4.0,4
3.7660165,4.0,5
3.175547,3.0,2
3.6915178,4.0,3
3.1954763,3.0,5
3.3542275,3.0,3
3.5009809,4.0,5
3.5627506,4.0,3
3.7339203,4.0,5
3.749041,4.0,3
3.7260494,4.0,3
4.1470027,4.0,3
3.4224706,3.0,4
4.036131,4.0,4
3.3399856,3.0,2
3.2244895,3.0,4
4.040851,4.0,5
3.9044619,4.0,5
3.5054274,4.0,3
3.4062996,3.0,3
3.4106002,3.0,4
3.5598397,4.0,2
3.436847,3.0,4
3.75275,4.0,4
3.1435807,3.0,2
3.4248588,3.0,5
3.457842,3.0,3
3.7889051,4.0,1
3.535462,4.0,4
3.4135487,3.0,4
3.4071715,3.0,3
3.1572075,3.0,5
3.7407558,4.0,3
4.0907946,4.0,4
3.457842,3.0,4
3.3945632,3.0,4
3.3191998,3.0,1
3.539649,4.0,3
3.9174645,4.0,4
3.5106359,4.0,3
3.5874653,4.0,4
3.2910619,3.0,1
3.226698,3.0,1
3.1619875,3.0,4
3.9746988,4.0,5
3.457842,3.0,1
3.5911467,4.0,3
3.7411556,4.0,4
4.0907946,4.0,4
3.8741465,4.0,4
3.549848,4.0,4
3.6424093,4.0,2
3.9426355,4.0,4
3.72053,4.0,5
3.7778041,4.0,5
3.4248588,3.0,2
3.4719481,3.0,4
3.5850105,4.0,2
3.4386158,3.0,4
3.168376,3.0,5
4.305527,4.0,5
3.8344975,4.0,4
3.6662855,4.0,4
3.7013173,4.0,5
3.5862873,4.0,2
3.6788542,4.0,4
3.2734547,3.0,3
3.731883,4.0,2
3.269741,3.0,1
3.2680793,3.0,5
3.553639,4.0,5
3.5874133,4.0,2
4.1106496,4.0,3
3.4700623,3.0,5
3.5487783,4.0,4
3.5714688,4.0,4
3.8643332,4.0,5
3.5240307,4.0,4
2.974576,3.0,5
3.6745932,4.0,4
3.5313735,4.0,4
3.8582914,4.0,4
3.5750873,4.0,3
3.667319,4.0,4
3.5091076,4.0,2
3.8031633,4.0,4
3.602243,4.0,2
3.6160002,4.0,5
3.5497422,4.0,5
3.3250494,3.0,4
4.0306015,4.0,4
3.6649435,4.0,5
3.5911467,4.0,4
3.681791,4.0,3
2.909022,3.0,1
3.9058378,4.0,5
3.6302974,4.0,4
3.8929405,4.0,4
3.1397703,3.0,1
4.035039,4.0,5
3.7419298,4.0,3
3.2792969,3.0,4
3.2283177,3.0,3
3.213939,3.0,5
3.464395,3.0,3
3.4869838,3.0,3
3.3331513,3.0,4
3.5616724,4.0,5
3.6927457,4.0,5
3.5572958,4.0,4
3.3346682,3.0,4
3.363676,3.0,3
3.6321392,4.0,4
3.4553978,3.0,3
3.4818776,3.0,4
3.457842,3.0,2
3.440032,3.0,3
3.5743892,4.0,5
3.8412027,4.0,4
3.8422914,4.0,2
3.5630522,4.0,4
3.6342602,4.0,4
3.7741902,4.0,3
3.2443128,3.0,1
3.539649,4.0,4
3.2155914,3.0,3
3.5999107,4.0,3
3.4082253,3.0,1
3.1347082,3.0,3
3.6940088,4.0,4
3.6059155,4.0,3
3.590488,4.0,4
3.4712467,3.0,5
3.357405,3.0,4
3.6479876,4.0,4
3.605177,4.0,3
3.7409317,4.0,5
4.056256,4.0,5
3.6788542,4.0,4
3.8170412,4.0,4
3.8868532,4.0,2
3.8136902,4.0,4
3.4094343,3.0,3
3.3469472,3.0,5
3.3191998,3.0,4
3.95551,4.0,3
3.1760755,3.0,3
3.5591164,4.0,4
3.02502,3.0,4
3.451001,3.0,4
3.7635808,4.0,4
3.664167,4.0,4
3.860884,4.0,5
3.5235765,4.0,4
3.546469,4.0,4
3.3903284,3.0,3
3.3505487,3.0,3
3.477501,3.0,3
3.4185128,3.0,3
3.838211,4.0,4
3.012122,3.0,3
3.493421,3.0,3
3.0565333,3.0,4
3.8072855,4.0,5
3.656214,4.0,2
3.89084,4.0,5
3.4872537,3.0,5
3.2023857,3.0,2
3.4819617,3.0,4
3.6474643,4.0,3
3.4355106,3.0,2
3.865252,4.0,2
3.832462,4.0,4
3.6575673,4.0,4
3.1509247,3.0,2
3.595094,4.0,4
3.4253573,3.0,3
3.3582056,3.0,3
3.7003086,4.0,4
3.6372714,4.0,3
3.4137945,3.0,4
3.3878174,3.0,4
3.4137945,3.0,3
3.4974098,3.0,4
2.8796754,3.0,3
3.7003086,4.0,3
3.5862873,4.0,5
3.588221,4.0,4
3.889781,4.0,4
3.617396,4.0,4
3.1397703,3.0,1
3.5447526,4.0,1
3.6983438,4.0,3
3.457842,3.0,2
3.7046268,4.0,4
3.4380836,3.0,4
3.4071715,3.0,4
3.5092268,4.0,4
3.6193643,4.0,5
3.3339546,3.0,1
3.8023942,4.0,4
4.1367497,4.0,5
3.469131,3.0,3
3.403721,3.0,5
3.5092828,4.0,3
3.5002735,4.0,2
3.655159,4.0,4
3.319869,3.0,3
3.6870055,4.0,5
3.745366,4.0,2
3.7614198,4.0,5
3.5796711,4.0,4
3.8115137,4.0,2
3.9831614,4.0,5
3.5555,4.0,3
2.9596775,3.0,1
3.3390656,3.0,3
3.5106118,4.0,4
3.406158,3.0,1
3.406894,3.0,3
3.4536598,3.0,2
3.4262915,3.0,3
3.33638,3.0,2
3.9802015,4.0,4
3.4959435,3.0,2
3.6783142,4.0,5
3.4333053,3.0,3
4.1583056,4.0,5
3.599271,4.0,4
3.499904,3.0,2
3.2893984,3.0,2
3.5387287,4.0,3
3.7490654,4.0,4
3.6771464,4.0,3
3.3499353,3.0,3
3.2584689,3.0,4
3.805512,4.0,3
3.244688,3.0,5
3.6272612,4.0,4
3.531425,4.0,5
4.041767,4.0,5
3.6814473,4.0,2
3.0210896,3.0,4
3.1063375,3.0,1
3.1397703,3.0,4
3.5364954,4.0,4
3.4842584,3.0,4
3.6528134,4.0,3
3.8933408,4.0,5
3.423549,3.0,3
3.46481,3.0,5
3.4818776,3.0,3
3.5185883,4.0,4
3.0759528,3.0,5
3.495554,3.0,4
3.2088184,3.0,2
3.0840547,3.0,4
3.4712467,3.0,5
3.8378205,4.0,3
3.4616606,3.0,3
3.3051753,3.0,3
3.4298973,3.0,3
3.5478952,4.0,4
3.3238137,3.0,2
3.7933264,4.0,5
3.5364954,4.0,2
3.2595856,3.0,4
3.8065963,4.0,5
3.7864614,4.0,3
3.411437,3.0,4
3.8263752,4.0,3
3.972834,4.0,4
3.392534,3.0,1
3.2786188,3.0,4
3.476698,3.0,4
3.2039351,3.0,2
4.054855,4.0,5
3.4939582,3.0,5
3.3415089,3.0,3
3.4253573,3.0,4
3.5291073,4.0,3
2.9267023,3.0,1
3.485423,3.0,2
3.8501215,4.0,4
3.6573532,4.0,4
4.0907946,4.0,4
3.0436356,3.0,3
3.5114808,4.0,4
3.6427326,4.0,4
3.176101,3.0,2
3.2126389,3.0,2
3.7376506,4.0,4
3.5214458,4.0,4
3.5612853,4.0,3
3.4752963,3.0,4
3.824883,4.0,5
3.5851192,4.0,2
3.268793,3.0,4
3.1611602,3.0,2
3.4714696,3.0,3
3.6935637,4.0,5
3.602243,4.0,3
3.4426262,3.0,3
3.606299,4.0,5
3.334595,3.0,5
3.5661187,4.0,3
3.8486242,4.0,4
3.8321447,4.0,5
3.1297626,3.0,3
3.4689093,3.0,2
3.7003086,4.0,4
3.5918157,4.0,3
3.6374495,4.0,5
3.170999,3.0,1
3.3187358,3.0,3
3.460089,3.0,4
3.6513562,4.0,5
3.1327093,3.0,1
3.8435206,4.0,5
3.5962772,4.0,4
3.7106948,4.0,4
3.283875,3.0,5
3.3300412,3.0,4
3.0070307,3.0,4
3.7265687,4.0,3
3.351075,3.0,4
3.5086093,4.0,3
3.858701,4.0,4
3.445831,3.0,3
3.6429234,4.0,4
3.2303543,3.0,4
3.8684506,4.0,3
3.4658449,3.0,4
3.6502106,4.0,5
3.4676895,3.0,1
3.337661,3.0,4
3.435736,3.0,1
3.1440277,3.0,3
3.7385092,4.0,5
3.0460231,3.0,2
4.149295,4.0,4
3.0285013,3.0,1
3.8625278,4.0,5
3.4471939,3.0,5
3.4333575,3.0,2
3.6792774,4.0,4
3.4547112,3.0,2
3.8617806,4.0,4
3.3142574,3.0,3
3.5207827,4.0,1
3.2877016,3.0,4
3.5193648,4.0,2
3.4009392,3.0,2
3.4985049,3.0,2
3.5362687,4.0,2
3.5443492,4.0,4
3.1166716,3.0,4
3.116994,3.0,3
4.0682964,4.0,2
3.3035994,3.0,3
3.5110998,4.0,4
3.2711475,3.0,4
4.066077,4.0,4
3.664167,4.0,5
3.3765373,3.0,5
3.9009945,4.0,4
3.5494244,4.0,2
3.5209522,4.0,4
3.457842,3.0,3
3.4861264,3.0,4
2.8401859,3.0,3
3.4971073,3.0,4
3.5773802,4.0,2
3.4502747,3.0,4
4.0329375,4.0,4
3.5091076,4.0,3
3.7420537,4.0,5
2.8926282,3.0,4
3.4932957,3.0,3
3.3812032,3.0,4
3.2622032,3.0,3
3.463806,3.0,5
3.6194701,4.0,4
3.2412534,3.0,3
3.2844415,3.0,2
3.458592,3.0,2
3.331216,3.0,4
3.3707376,3.0,4
3.534878,4.0,4
3.8720279,4.0,4
2.698535,3.0,1
3.4115987,3.0,4
3.4347174,3.0,1
3.7119787,4.0,3
3.7207942,4.0,3
3.5460577,4.0,3
3.8311138,4.0,4
3.681791,4.0,4
3.7508206,4.0,3
3.4426262,3.0,4
3.494281,3.0,2
3.3413894,3.0,3
3.164407,3.0,4
3.6991687,4.0,4
3.5874653,4.0,3
3.268079,3.0,4
3.617174,4.0,4
3.0016985,3.0,2
3.745366,4.0,5
3.8397388,4.0,2
3.643371,4.0,4
3.6374495,4.0,2
3.6709833,4.0,4
3.745366,4.0,5
3.3794913,3.0,4
3.6994345,4.0,4
3.5872571,4.0,4
3.4939582,3.0,4
3.650263,4.0,5
3.4810414,3.0,2
4.0629373,4.0,4
3.6682856,4.0,4
3.6339579,4.0,2
3.5200915,4.0,4
2.909022,3.0,5
3.420842,3.0,3
3.0171623,3.0,3
3.2313886,3.0,2
3.1770442,3.0,2
3.7312737,4.0,5
3.9369185,4.0,5
3.3221402,3.0,3
3.8632147,4.0,4
3.17883,3.0,5
3.4426262,3.0,1
3.149281,3.0,1
3.6857347,4.0,4
3.411437,3.0,4
3.6642385,4.0,5
3.715235,4.0,5
3.5364954,4.0,1
3.354661,3.0,2
3.1592543,3.0,2
3.917016,4.0,4
3.5091136,4.0,1
3.5086093,4.0,5
3.420842,3.0,4
3.590488,4.0,5
3.283875,3.0,2
3.0634437,3.0,4
3.5097017,4.0,4
3.440104,3.0,4
3.457842,3.0,3
3.4538214,3.0,3
3.5717838,4.0,4
3.8109407,4.0,3
3.6154633,4.0,5
3.3103797,3.0,4
3.475304,3.0,3
3.2306058,3.0,3
3.5098953,4.0,4
3.3312495,3.0,4
3.23502,3.0,3
3.227254,3.0,4
3.638009,4.0,5
3.5471215,4.0,2
3.3864868,3.0,3
3.042082,3.0,4
3.3998072,3.0,4
3.534467,4.0,4
3.0329313,3.0,5
3.5063848,4.0,3
3.3903284,3.0,5
3.5161152,4.0,2
3.457842,3.0,5
3.4009392,3.0,3
3.2952797,3.0,4
3.1796675,3.0,5
3.3990405,3.0,3
3.6427326,4.0,4
3.4853778,3.0,5
3.6431303,4.0,4
3.6662855,4.0,5
2.908928,3.0,3
3.785788,4.0,3
3.4821177,3.0,1
3.4380836,3.0,4
3.3903284,3.0,1
3.5688522,4.0,4
3.8016574,4.0,4
3.7779162,4.0,4
3.7292466,4.0,3
3.448813,3.0,4
3.628416,4.0,2
3.6085863,4.0,3
3.5185883,4.0,4
3.2809567,3.0,3
3.7141016,4.0,4
3.6294668,4.0,4
3.8608375,4.0,5
3.93827,4.0,5
3.826608,4.0,3
3.7027378,4.0,5
3.4140828,3.0,2
3.2766695,3.0,4
3.812516,4.0,4
3.8098648,4.0,4
3.3945715,3.0,2
3.5375457,4.0,4
3.672922,4.0,5
4.1589475,4.0,2
3.4041338,3.0,1
3.1915357,3.0,5
3.9078217,4.0,5
3.7373493,4.0,5
3.7913766,4.0,5
3.622306,4.0,4
4.149295,4.0,5
3.6868865,4.0,4
3.655159,4.0,3
3.8065963,4.0,4
3.4950044,3.0,4
3.187365,3.0,3
3.7228289,4.0,3
3.8435206,4.0,4
3.3068964,3.0,5
3.5091136,4.0,5
3.4719582,3.0,3
2.9488516,3.0,1
3.9044619,4.0,3
3.6053972,4.0,5
3.3227243,3.0,4
3.3100963,3.0,4
3.390842,3.0,3
3.5301995,4.0,3
3.886848,4.0,3
3.270707,3.0,2
3.6584668,4.0,3
3.886848,4.0,4
3.6346595,4.0,4
3.378462,3.0,4
3.533032,4.0,2
3.3389513,3.0,3
3.6781538,4.0,4
3.5317354,4.0,5
3.0924177,3.0,2
3.161287,3.0,4
3.410405,3.0,2
3.4833074,3.0,3
3.229603,3.0,5
3.7639778,4.0,4
3.457842,3.0,2
3.981731,4.0,5
3.746933,4.0,5
3.9220328,4.0,4
3.4712467,3.0,5
2.932396,3.0,4
3.617396,4.0,5
3.2298706,3.0,2
3.390842,3.0,3
3.4891374,3.0,3
2.7425656,3.0,5
3.5509725,4.0,4
3.711372,4.0,4
3.9822345,4.0,4
3.65948,4.0,4
3.4239092,3.0,3
3.6770203,4.0,3
3.1843011,3.0,3
3.2613792,3.0,3
3.513623,4.0,5
3.7046268,4.0,5
3.5086093,4.0,4
3.595094,4.0,4
3.348012,3.0,5
3.8658266,4.0,2
3.773905,4.0,3
3.709524,4.0,4
3.6574833,4.0,3
3.3415089,3.0,3
3.492086,3.0,3
3.5098953,4.0,4
3.8435206,4.0,3
3.5236835,4.0,3
3.2155914,3.0,3
3.4135487,3.0,2
3.0304127,3.0,5
2.845442,3.0,2
3.3051755,3.0,3
3.3428512,3.0,4
4.035333,4.0,5
3.457842,3.0,4
3.2240033,3.0,1
3.8195643,4.0,3
3.725346,4.0,4
3.6964984,4.0,5
3.4212956,3.0,4
3.5313735,4.0,4
3.767013,4.0,3
3.6278021,4.0,5
3.1920414,3.0,1
3.8161542,4.0,4
3.5106704,4.0,2
3.8576427,4.0,5
3.5527854,4.0,5
3.6204858,4.0,5
3.4287062,3.0,5
3.305433,3.0,3
3.6305735,4.0,3
3.714411,4.0,5
3.8922467,4.0,4
3.5674126,4.0,4
3.7842555,4.0,5
3.5429478,4.0,4
4.056256,4.0,5
3.3401315,3.0,1
3.5319076,4.0,3
3.3878174,3.0,4
3.4143722,3.0,4
3.475304,3.0,4
3.9023538,4.0,5
3.453022,3.0,4
3.5918157,4.0,4
3.7231884,4.0,4
3.7508206,4.0,3
3.5488873,4.0,1
3.2155356,3.0,4
3.2423885,3.0,3
3.6177957,4.0,4
3.472547,3.0,4
3.506135,4.0,5
3.795402,4.0,5
3.7093537,4.0,4
3.3903284,3.0,1
3.729751,4.0,3
3.0754914,3.0,1
4.0248976,4.0,4
3.0840547,3.0,4
3.5387287,4.0,4
3.4380836,3.0,4
3.4943423,3.0,4
3.1791396,3.0,2
3.5831132,4.0,4
3.5848994,4.0,3
3.9793625,4.0,3
3.6032715,4.0,4
3.7411556,4.0,4
3.4719582,3.0,5
3.349075,3.0,5
3.8322682,4.0,3
3.5038874,4.0,2
3.0100627,3.0,4
3.1920414,3.0,3
3.632694,4.0,3
3.420842,3.0,1
3.6156483,4.0,1
3.5751553,4.0,4
3.2408934,3.0,4
3.606536,4.0,4
3.7477908,4.0,4
3.8767486,4.0,4
3.681791,4.0,4
3.4991908,3.0,4
3.9305012,4.0,5
3.5364954,4.0,4
3.4121904,3.0,2
3.642614,4.0,5
3.436847,3.0,3
3.2250683,3.0,3
3.3706539,3.0,4
3.5113711,4.0,4
3.7003086,4.0,2
3.602243,4.0,4
3.5036922,4.0,4
3.6547554,4.0,4
3.672922,4.0,1
3.5185883,4.0,4
3.4885685,3.0,5
3.5878983,4.0,4
4.075991,4.0,5
4.075799,4.0,4
3.457842,3.0,4
3.5891325,4.0,3
3.723607,4.0,3
3.4940357,3.0,3
3.477501,3.0,4
3.3557305,3.0,5
3.473741,3.0,3
3.6909323,4.0,3
2.89942,3.0,4
3.2877176,3.0,3
3.416299,3.0,3
3.1534579,3.0,4
3.3947287,3.0,3
3.2314909,3.0,3
3.411437,3.0,1
3.8510923,4.0,5
3.1987426,3.0,2
3.2509308,3.0,5
3.547295,4.0,4
3.6199021,4.0,4
3.4106002,3.0,2
3.4248347,3.0,4
3.6662855,4.0,1
3.87812,4.0,4
3.586012,4.0,4
3.5086093,4.0,2
3.9719145,4.0,5
3.7542925,4.0,4
3.972834,4.0,4
3.6595118,4.0,3
3.2463477,3.0,2
3.4137945,3.0,5
3.8814955,4.0,4
3.705371,4.0,5
3.2321348,3.0,1
3.6463428,4.0,4
3.546469,4.0,5
3.7164183,4.0,4
3.2783127,3.0,3
3.136443,3.0,1
3.5505054,4.0,4
3.4305613,3.0,5
3.4426262,3.0,5
3.6492443,4.0,4
3.477501,3.0,4
3.1791396,3.0,5
3.7289696,4.0,2
3.405798,3.0,2
3.4093096,3.0,3
3.885717,4.0,5
2.9797034,3.0,2
3.7528439,4.0,4
3.3124013,3.0,5
3.480792,3.0,2
3.3291118,3.0,5
3.528662,4.0,3
4.1543508,4.0,4
3.5818577,4.0,3
3.5258036,4.0,3
3.4926143,3.0,2
3.5136495,4.0,3
3.3505487,3.0,4
3.506828,4.0,3
3.4149382,3.0,4
3.4489095,3.0,3
3.457842,3.0,4
3.5551841,4.0,4
3.4333575,3.0,3
3.4586873,3.0,5
3.8235817,4.0,4
3.0304127,3.0,5
3.7148032,4.0,3
3.8834736,4.0,2
3.6667361,4.0,2
3.4137945,3.0,2
3.6048274,4.0,4
3.7046268,4.0,5
3.6044626,4.0,3
3.6770203,4.0,3
3.8393445,4.0,5
3.7411556,4.0,4
3.8528175,4.0,4
3.6401618,4.0,3
3.5862873,4.0,5
3.7928505,4.0,4
3.4893098,3.0,3
3.4020534,3.0,3
3.697097,4.0,4
3.7168167,4.0,3
3.6979752,4.0,4
3.4243357,3.0,4
3.6144447,4.0,4
3.3631241,3.0,5
3.5171545,4.0,4
3.690956,4.0,4
3.4719481,3.0,4
3.8109407,4.0,4
3.63662,4.0,5
2.9813135,3.0,1
3.3460202,3.0,4
3.365311,3.0,4
3.8652124,4.0,5
3.353336,3.0,3
3.578207,4.0,3
3.444466,3.0,4
3.528353,4.0,5
3.7263603,4.0,3
3.4218256,3.0,1
3.1561735,3.0,5
3.785788,4.0,2
2.8776627,3.0,3
3.5963736,4.0,4
3.4239092,3.0,2
3.1063375,3.0,3
3.8794281,4.0,2
3.1713512,3.0,3
3.4166858,3.0,5
3.615604,4.0,4
3.4779177,3.0,3
3.4531343,3.0,5
3.3794358,3.0,3
3.2930698,3.0,3
3.4986734,3.0,3
3.6815524,4.0,5
3.7508206,4.0,4
3.5920362,4.0,3
3.4174206,3.0,1
4.3042083,4.0,5
3.6177957,4.0,3
3.487935,3.0,4
3.8582914,4.0,4
3.889781,4.0,4
3.8975794,4.0,3
3.4071715,3.0,4
3.8297596,4.0,4
2.8618252,3.0,3
3.6498654,4.0,4
3.6467319,4.0,3
3.7289696,4.0,2
3.277514,3.0,1
3.5586648,4.0,4
3.3765373,3.0,4
3.4433513,3.0,3
3.6742249,4.0,5
3.0672946,3.0,4
3.791786,4.0,5
3.7573202,4.0,3
3.8220441,4.0,4
3.1770573,3.0,2
3.6316438,4.0,1
3.3888764,3.0,4
3.433342,3.0,5
3.8795857,4.0,4
3.7651763,4.0,4
3.8582914,4.0,3
3.436847,3.0,4
3.785788,4.0,4
3.4041338,3.0,4
3.8526554,4.0,4
3.593681,4.0,3
3.4948797,3.0,2
3.539049,4.0,2
3.873352,4.0,2
3.7499337,4.0,4
3.6171634,4.0,3
3.3499353,3.0,4
2.9918213,3.0,3
3.8101141,4.0,5
3.346504,3.0,3
3.6427326,4.0,4
3.159598,3.0,5
3.2833776,3.0,4
3.644144,4.0,3
3.2451296,3.0,1
3.4639833,3.0,3
3.511853,4.0,5
3.6502106,4.0,4
3.6036174,4.0,4
3.4283216,3.0,5
3.5010242,4.0,3
3.8893502,4.0,5
3.4301836,3.0,3
3.3851776,3.0,3
3.6788688,4.0,4
3.3304033,3.0,5
3.436847,3.0,3
3.6178005,4.0,3
3.88241,4.0,4
3.690956,4.0,3
3.7874336,4.0,4
3.7064013,4.0,4
3.6069126,4.0,3
3.3474905,3.0,3
3.5091076,4.0,3
3.3056538,3.0,3
3.0672946,3.0,2
2.9009144,3.0,3
3.492086,3.0,4
3.5454805,4.0,5
3.1910148,3.0,1
3.4643078,3.0,3
3.655159,4.0,3
3.5287974,4.0,5
3.643475,4.0,4
3.6969953,4.0,3
4.0375733,4.0,4
3.0841827,3.0,3
3.4672813,3.0,4
3.5862873,4.0,5
3.4643078,3.0,4
3.666977,4.0,2
3.7046268,4.0,2
3.494417,3.0,4
3.6748772,4.0,5
4.0087056,4.0,5
3.1698015,3.0,4
3.274769,3.0,5
3.8922467,4.0,4
3.6088326,4.0,4
3.4831252,3.0,2
3.6868865,4.0,5
3.230596,3.0,2
3.7659621,4.0,4
3.5914168,4.0,4
3.163331,3.0,4
3.3606677,3.0,3
3.2415822,3.0,3
3.6788542,4.0,3
3.4692378,3.0,4
3.7003086,4.0,4
3.4174206,3.0,4
3.4730895,3.0,5
3.5010486,4.0,5
3.8160367,4.0,5
3.7508206,4.0,4
3.9383497,4.0,4
3.7041101,4.0,3
3.5135436,4.0,3
3.363676,3.0,5
3.563749,4.0,5
3.2932904,3.0,3
3.1063375,3.0,5
3.6677697,4.0,4
3.7231638,4.0,5
3.175649,3.0,4
3.5036008,4.0,5
3.0953994,3.0,3
3.4252841,3.0,4
3.6431303,4.0,5
3.8486242,4.0,3
3.562442,4.0,4
3.6859436,4.0,5
3.596581,4.0,4
3.5566456,4.0,1
3.4979339,3.0,5
3.5556705,4.0,4
3.5684338,4.0,4
2.830175,3.0,3
3.2950087,3.0,5
3.5497422,4.0,4
3.457842,3.0,3
3.329814,3.0,3
3.457842,3.0,2
3.5458775,4.0,4
3.6844535,4.0,5
3.2367718,3.0,4
3.6818962,4.0,1
3.614651,4.0,4
3.5768328,4.0,3
3.7003086,4.0,2
3.8435206,4.0,2
3.3220298,3.0,5
3.4992142,3.0,3
3.3494678,3.0,3
3.602243,4.0,3
3.4719481,3.0,2
3.6788542,4.0,5
3.6770203,4.0,4
3.65661,4.0,4
2.9948106,3.0,1
3.3278003,3.0,4
3.4725142,3.0,2
3.3999424,3.0,4
3.4569683,3.0,4
3.235789,3.0,1
3.4878306,3.0,2
3.7508206,4.0,5
3.7801287,4.0,4
3.70372,4.0,4
3.6317465,4.0,4
2.9918606,3.0,2
3.828805,4.0,4
2.9918213,3.0,3
3.5598397,4.0,4
2.9569383,3.0,4
3.8635948,4.0,4
3.0581932,3.0,4
3.8099298,4.0,4
3.274482,3.0,4
2.956898,3.0,3
3.5680459,4.0,4
3.3785791,3.0,3
3.2513044,3.0,4
3.5578,4.0,4
4.1784325,4.0,5
3.4071715,3.0,5
4.0450478,4.0,4
3.878368,4.0,5
3.7407777,4.0,4
3.858701,4.0,4
3.539649,4.0,2
3.5274806,4.0,5
3.4774888,3.0,4
3.3157728,3.0,4
2.909022,3.0,5
3.5026698,4.0,4
3.282311,3.0,4
3.6194701,4.0,4
3.3113441,3.0,3
3.6909323,4.0,4
3.363495,3.0,5
3.3971066,3.0,5
3.712111,4.0,3
3.9642107,4.0,5
3.248785,3.0,1
3.6372485,4.0,2
3.149281,3.0,4
3.4689093,3.0,3
3.7986193,4.0,2
2.9918606,3.0,4
3.2929912,3.0,4
3.655159,4.0,4
3.4616606,3.0,4
3.6507328,4.0,4
3.3794358,3.0,3
3.1394775,3.0,1
3.386731,3.0,4
3.6973643,4.0,4
3.1703038,3.0,3
3.477501,3.0,3
3.6434417,4.0,5
3.3507237,3.0,2
3.709524,4.0,5
3.4834921,3.0,4
3.82695,4.0,3
3.3956842,3.0,5
3.887318,4.0,5
3.5016866,4.0,5
3.9727354,4.0,4
3.4174206,3.0,3
3.7411556,4.0,4
3.4428265,3.0,3
3.4700623,3.0,5
3.672922,4.0,2
3.8393445,4.0,5
3.4569683,3.0,4
3.681791,4.0,2
3.4739125,3.0,5
3.4723465,3.0,3
4.0974836,4.0,5
3.4573026,3.0,4
3.3115375,3.0,1
3.2648447,3.0,5
3.877008,4.0,2
3.3031533,3.0,3
3.2881746,3.0,5
3.8373694,4.0,4
3.3918731,3.0,4
3.683031,4.0,2
3.618432,4.0,5
3.4671292,3.0,3
3.5911467,4.0,5
3.4104357,3.0,2
2.9042659,3.0,3
3.7548103,4.0,4
3.2423897,3.0,5
3.721675,4.0,4
3.2398658,3.0,2
4.040693,4.0,4
3.8700771,4.0,4
3.635033,4.0,4
3.8230925,4.0,5
3.7231884,4.0,5
3.3445654,3.0,2
3.6467319,4.0,2
3.2545404,3.0,4
3.6085863,4.0,3
